label	direction	mode	n_lost	evalue_bin	qcov_bin	n	frac
pezizo_set1	gain	sensitive	1641	1e-20<=E<1e-5	30<=qcov<60	324	0.1974
pezizo_set1	gain	sensitive	1641	1e-20<=E<1e-5	qcov<30	313	0.1907
pezizo_set1	gain	sensitive	1641	1e-20<=E<1e-5	qcov>=60	336	0.2048
pezizo_set1	gain	sensitive	1641	1e-50<=E<1e-20	30<=qcov<60	129	0.0786
pezizo_set1	gain	sensitive	1641	1e-50<=E<1e-20	qcov<30	21	0.0128
pezizo_set1	gain	sensitive	1641	1e-50<=E<1e-20	qcov>=60	431	0.2626
pezizo_set1	gain	sensitive	1641	E<1e-50	30<=qcov<60	15	0.0091
pezizo_set1	gain	sensitive	1641	E<1e-50	qcov<30	1	0.0006
pezizo_set1	gain	sensitive	1641	E<1e-50	qcov>=60	65	0.0396
pezizo_set1	gain	sensitive	1641	no significant raw hit		6	0.0037
pezizo_set1	gain	very_sensitive	1760	1e-20<=E<1e-5	30<=qcov<60	356	0.2023
pezizo_set1	gain	very_sensitive	1760	1e-20<=E<1e-5	qcov<30	316	0.1795
pezizo_set1	gain	very_sensitive	1760	1e-20<=E<1e-5	qcov>=60	400	0.2273
pezizo_set1	gain	very_sensitive	1760	1e-50<=E<1e-20	30<=qcov<60	134	0.0761
pezizo_set1	gain	very_sensitive	1760	1e-50<=E<1e-20	qcov<30	21	0.0119
pezizo_set1	gain	very_sensitive	1760	1e-50<=E<1e-20	qcov>=60	445	0.2528
pezizo_set1	gain	very_sensitive	1760	E<1e-50	30<=qcov<60	15	0.0085
pezizo_set1	gain	very_sensitive	1760	E<1e-50	qcov<30	1	0.0006
pezizo_set1	gain	very_sensitive	1760	E<1e-50	qcov>=60	65	0.0369
pezizo_set1	gain	very_sensitive	1760	no significant raw hit		7	0.004
pezizo_set1	loss	sensitive	72	1e-20<=E<1e-5	30<=qcov<60	13	0.1806
pezizo_set1	loss	sensitive	72	1e-20<=E<1e-5	qcov<30	7	0.0972
pezizo_set1	loss	sensitive	72	1e-20<=E<1e-5	qcov>=60	10	0.1389
pezizo_set1	loss	sensitive	72	1e-50<=E<1e-20	30<=qcov<60	12	0.1667
pezizo_set1	loss	sensitive	72	1e-50<=E<1e-20	qcov<30	2	0.0278
pezizo_set1	loss	sensitive	72	1e-50<=E<1e-20	qcov>=60	22	0.3056
pezizo_set1	loss	sensitive	72	E<1e-50	30<=qcov<60	1	0.0139
pezizo_set1	loss	sensitive	72	E<1e-50	qcov>=60	4	0.0556
pezizo_set1	loss	sensitive	72	no significant raw hit		1	0.0139
pezizo_set1	loss	very_sensitive	73	1e-20<=E<1e-5	30<=qcov<60	13	0.1781
pezizo_set1	loss	very_sensitive	73	1e-20<=E<1e-5	qcov<30	7	0.0959
pezizo_set1	loss	very_sensitive	73	1e-20<=E<1e-5	qcov>=60	11	0.1507
pezizo_set1	loss	very_sensitive	73	1e-50<=E<1e-20	30<=qcov<60	11	0.1507
pezizo_set1	loss	very_sensitive	73	1e-50<=E<1e-20	qcov<30	2	0.0274
pezizo_set1	loss	very_sensitive	73	1e-50<=E<1e-20	qcov>=60	23	0.3151
pezizo_set1	loss	very_sensitive	73	E<1e-50	30<=qcov<60	1	0.0137
pezizo_set1	loss	very_sensitive	73	E<1e-50	qcov>=60	4	0.0548
pezizo_set1	loss	very_sensitive	73	no significant raw hit		1	0.0137
